filename,recording_type,language_pair,language_code,domain,accent_country,device_type,noise_condition,clinical_category,reference_transcript,switch_points,expected_topic,expected_urgency,expected_department,expected_slots,expected_entities
kelvin_sample_1.mp3,synthetic_triage_phrase,Swahili-English,sw,healthcare,Kenya,laptop microphone (mp3),studio quiet,Triage Phrase,I need to see a doctor today.,[],,,,{},[]
kelvin_sample_2.mp3,synthetic_triage_phrase,Swahili-English,sw,healthcare,Kenya,laptop microphone (mp3),studio quiet,Triage Phrase,Nahitaji kumwona daktari leo.,[],,,,{},[]
kelvin_sample_3.mp3,synthetic_triage_phrase,Swahili-English,sw,healthcare,Kenya,laptop microphone (mp3),studio quiet,Triage Phrase,Nahitaji kuona doc leo.,[],,,,{},[]
kelvin_sample_4.mp3,synthetic_triage_phrase,Swahili-English,sw,healthcare,Kenya,laptop microphone (mp3),studio quiet,Triage Phrase,My head hurts badly.,[],,,,{},[]
kelvin_sample_5.mp3,synthetic_triage_phrase,Swahili-English,sw,healthcare,Kenya,laptop microphone (mp3),studio quiet,Triage Phrase,Kichwa kinaniuma sana.,[],,,,{},[]
kelvin_sample_6.mp3,synthetic_triage_phrase,Swahili-English,sw,healthcare,Kenya,laptop microphone (mp3),studio quiet,Triage Phrase,Kichwa inauma mbaya.,[],,,,{},[]
kelvin_sample_7.mp3,synthetic_triage_phrase,Swahili-English,sw,healthcare,Kenya,laptop microphone (mp3),studio quiet,Triage Phrase,Remember to take your medicine.,[],,,,{},[]
kelvin_sample_8.mp3,synthetic_triage_phrase,Swahili-English,sw,healthcare,Kenya,laptop microphone (mp3),studio quiet,Triage Phrase,Kumbuka kumeza dawa zako.,[],,,,{},[]
kelvin_sample_9.mp3,synthetic_triage_phrase,Swahili-English,sw,healthcare,Kenya,laptop microphone (mp3),studio quiet,Triage Phrase,Kumbuka kumeza dawa zako za prescription.,[],,,,{},[]
kelvin_sample_10.mp3,synthetic_triage_phrase,Swahili-English,sw,healthcare,Kenya,laptop microphone (mp3),studio quiet,Triage Phrase,I am feeling much better now.,[],,,,{},[]
kelvin_sample_11.mp3,synthetic_triage_phrase,Swahili-English,sw,healthcare,Kenya,laptop microphone (mp3),studio quiet,Triage Phrase,Najisikia vizuri zaidi sasa.,[],,,,{},[]
kelvin_sample_12.mp3,synthetic_triage_phrase,Swahili-English,sw,healthcare,Kenya,laptop microphone (mp3),studio quiet,Triage Phrase,Najisikia fit sana saa hii.,[],,,,{},[]
kelvin_sample_13.mp3,synthetic_triage_phrase,Swahili-English,sw,healthcare,Kenya,laptop microphone (mp3),studio quiet,Triage Phrase,Washi your hands with soap.,[],,,,{},[]
kelvin_sample_14.mp3,synthetic_triage_phrase,Swahili-English,sw,healthcare,Kenya,laptop microphone (mp3),studio quiet,Triage Phrase,Osha mikono yako kwa sabuni.,[],,,,{},[]
kelvin_sample_15.mp3,synthetic_triage_phrase,Swahili-English,sw,healthcare,Kenya,laptop microphone (mp3),studio quiet,Triage Phrase,Osha mikono yako na soap.,[],,,,{},[]
kelvin_sample_16.mp3,synthetic_triage_phrase,Swahili-English,sw,healthcare,Kenya,laptop microphone (mp3),studio quiet,Triage Phrase,He has a severe cough.,[],,,,{},[]
kelvin_sample_17.mp3,synthetic_triage_phrase,Swahili-English,sw,healthcare,Kenya,laptop microphone (mp3),studio quiet,Triage Phrase,Anakohoa sana.,[],,,,{},[]
kelvin_sample_18.mp3,synthetic_triage_phrase,Swahili-English,sw,healthcare,Kenya,laptop microphone (mp3),studio quiet,Triage Phrase,Ana cough mbaya sana.,[],,,,{},[]
kelvin_sample_19.mp3,synthetic_triage_phrase,Swahili-English,sw,healthcare,Kenya,laptop microphone (mp3),studio quiet,Triage Phrase,Drink plenti of water everyday.,[],,,,{},[]
kelvin_sample_20.mp3,synthetic_triage_phrase,Swahili-English,sw,healthcare,Kenya,laptop microphone (mp3),studio quiet,Triage Phrase,Kunywa maji mengi kila siku.,[],,,,{},[]
kelvin_sample_21.mp3,synthetic_triage_phrase,Swahili-English,sw,healthcare,Kenya,laptop microphone (mp3),studio quiet,Triage Phrase,Kunywa maji mengi kila day.,[],,,,{},[]
kelvin_sample_22.mp3,synthetic_triage_phrase,Swahili-English,sw,healthcare,Kenya,laptop microphone (mp3),studio quiet,Triage Phrase,The clinic is closed on sundays.,[],,,,{},[]
kelvin_sample_23.mp3,synthetic_triage_phrase,Swahili-English,sw,healthcare,Kenya,laptop microphone (mp3),studio quiet,Triage Phrase,Sahanati imefungwa siku ya Jumapili.,[],,,,{},[]
kelvin_sample_24.mp3,synthetic_triage_phrase,Swahili-English,sw,healthcare,Kenya,laptop microphone (mp3),studio quiet,Triage Phrase,Hiyo clinic imefungwa Sunday.,[],,,,{},[]
kelvin_sample_25.mp3,synthetic_triage_phrase,Swahili-English,sw,healthcare,Kenya,laptop microphone (mp3),studio quiet,Triage Phrase,Where is the nearest hospital?,[],,,,{},[]
kelvin_sample_26.mp3,synthetic_triage_phrase,Swahili-English,sw,healthcare,Kenya,laptop microphone (mp3),studio quiet,Triage Phrase,Hospitali ya karibu iko wapi?,[],,,,{},[]
kelvin_sample_27.mp3,synthetic_triage_phrase,Swahili-English,sw,healthcare,Kenya,laptop microphone (mp3),studio quiet,Triage Phrase,Hospital nearest iko wapi?,[],,,,{},[]
kelvin_sample_28.mp3,synthetic_triage_phrase,Swahili-English,sw,healthcare,Kenya,laptop microphone (mp3),studio quiet,Triage Phrase,Can I book an appointment?,[],,,,{},[]
kelvin_sample_29.mp3,synthetic_triage_phrase,Swahili-English,sw,healthcare,Kenya,laptop microphone (mp3),studio quiet,Triage Phrase,Naweza kuweka miadi.,[],,,,{},[]
kelvin_sample_30.mp3,synthetic_triage_phrase,Swahili-English,sw,healthcare,Kenya,laptop microphone (mp3),studio quiet,Triage Phrase,Naweza kubuka appendicid.,[],,,,{},[]
sample_sw_en_Persisent_cough.m4a,naturalistic_health_complaint,Swahili-English,sw,healthcare,Kenya,smartphone (m4a),indoor quiet,Respiratory,"Nimekuwa nikikohoa for about 3 weeks. Usiku natokwa na jasho sana na nguo zimeanza kunilegea even though sijajaribu kupunguza weight. Wakati mwingine natoa makohozi, lakini sijaona damu. Sijatumia antibiotics.","[{""token_index"": 5, ""from_language"": ""sw"", ""to_language"": ""en""}]",,ROUTINE,General Outpatient,{},"[""persistent cough"", ""cough""]"
sample_sw_en_Symptoms_after_taking_meds.m4a,naturalistic_health_complaint,Swahili-English,sw,healthcare,Kenya,smartphone (m4a),indoor quiet,Medication Side Effects,"Nimekunywa dawa mpya about 15 minutes ago, sasa mwili unawasha na midomo imeanza kuvimba. Nahisi pia koo kama inafunga, na breathing imekuwa ngumu. Dawa yenyewe nimekuja nayo, lakini sijui jina.","[{""token_index"": 5, ""from_language"": ""sw"", ""to_language"": ""en""}]",Breathing difficulty,EMERGENCY,Emergency / Resuscitation,{},"[""itching"", ""swelling of lips"", ""throat tightness"", ""difficulty breathing"", ""anaphylaxis""]"
sample_sw_en_adbominal_pain.m4a,naturalistic_health_complaint,Swahili-English,sw,healthcare,Kenya,smartphone (m4a),indoor quiet,Abdominal & GI,"Tumbo imekuwa ikiniuma for 3 days. Ah, sorry. Ni tangu juzi jioni. Mwanzo ilikuwa hapo katikati, lakini sasa inaniuma zaidi chini upande wa kulia. I feel nouces, lakini sijatapika. Nikitembea au nikikohoa, maumivu yanaongezeka.","[{""token_index"": 5, ""from_language"": ""sw"", ""to_language"": ""en""}]",Abdominal pain / gastrointestinal,URGENT,General Outpatient / Surgery review,{},"[""abdominal pain""]"
sample_sw_en_backpain_explicit_negatives.m4a,naturalistic_health_complaint,Swahili-English,sw,healthcare,Kenya,smartphone (m4a),indoor quiet,Musculoskeletal,"Mgongo wa chini ulianza kuuma jana after kubeba sanduku nzito. Maumivu yako hapo tu, hayaendi kwa miguu. Sina ganzi wala shida ya kukojoa, nikikaa bila kusonga napata nafuu but kuinama inauma.","[{""token_index"": 4, ""from_language"": ""sw"", ""to_language"": ""en""}]",,ROUTINE,General Outpatient,{},"[""back pain""]"
sample_sw_en_chest_discomfort.m4a,naturalistic_health_complaint,Swahili-English,sw,healthcare,Kenya,smartphone (m4a),indoor quiet,Cardiac Emergency,Ninahisi kifua kinabana kama kuna kitu kizito hapa katikati. Ilianza about 30 minutes ago nikiwa nimekaa. Sasa maumivu yanaendelea kwa mkono wa kushoto natokwa na jasho. Hii haijawai kunitokea before.,"[{""token_index"": 4, ""from_language"": ""sw"", ""to_language"": ""en""}]",Chest pain / possible cardiac event,EMERGENCY,Emergency / Resuscitation,{},"[""chest pain"", ""chest discomfort""]"
sample_sw_en_child_described.m4a,naturalistic_health_complaint,Swahili-English,sw,healthcare,Kenya,smartphone (m4a),indoor quiet,Paediatrics,"Mtoto wangu ana miaka 2, amekuwa na fever tangu jana na leo hataki kula wala kunywa vizuri. Usually anacheza sana lakini leo amelala tu karibu siku nzima. Nimempa dawa ya homa, lakini sikumbuki jina nimeleta chupa.","[{""token_index"": 4, ""from_language"": ""sw"", ""to_language"": ""en""}]",Child illness (paediatric),URGENT,Paediatrics,{},"[""child"", ""paediatric""]"
sample_sw_en_dental_pain_swelling.m4a,naturalistic_health_complaint,Swahili-English,sw,healthcare,Kenya,smartphone (m4a),indoor quiet,Dental & Oral,"Jino la nyuma limekuwa likiniuma for 4 days na leo shavu limevimba. Nikitafuna inauma sana. I can swallow, lakini kufunga mdomo vizuri ni shida. Nimekunywa painkillers, sijatumia dawa nyingine.","[{""token_index"": 4, ""from_language"": ""sw"", ""to_language"": ""en""}]",Skin / wound complaint,ROUTINE,General Outpatient / Minor procedures,{},"[""dental pain"", ""swelling""]"
sample_sw_en_diabetes_missed_food.m4a,naturalistic_health_complaint,Swahili-English,sw,healthcare,Kenya,smartphone (m4a),indoor quiet,Chronic Disease,"Nina diabetes na leo nimejidunga insulin kama kawaida, lakini sikupata breakfast. sasa natetemeka, natokwa na jasho, na nahisi kizunguzungu. Sina kifaa changu cha kupima sugar hapa, so sijui iko ngapi.","[{""token_index"": 5, ""from_language"": ""sw"", ""to_language"": ""en""}]",Medication refill / chronic condition follow-up,ROUTINE,Pharmacy / Chronic care clinic,{},"[""diabetes"", ""medication"", ""blood sugar""]"
sample_sw_en_diarrhoea_vomiting.m4a,naturalistic_health_complaint,Swahili-English,sw,healthcare,Kenya,smartphone (m4a),indoor quiet,Abdominal & GI,Tangu usiku nimeharisha kama mara 6 na nimetapika twice nikikunywa maji sometimes nayatapika tena. Mdomo umekauka na nasikia kizunguzungu nikisimama mara ya mwisho kukojoa ilikuwa asubuhi na ilikua kidogo.,"[{""token_index"": 5, ""from_language"": ""sw"", ""to_language"": ""en""}]",Abdominal pain / gastrointestinal,URGENT,General Outpatient / Surgery review,{},"[""diarrhoea"", ""vomiting""]"
sample_sw_en_difficulty_breathing.m4a,naturalistic_health_complaint,Swahili-English,sw,healthcare,Kenya,smartphone (m4a),indoor quiet,Respiratory Emergency,"Nina asthma, na leo tangu asubuhi kupumua imekuwa shida. Nimetumia inhaler yangu mara 2, but bado kifua kinabana. Nikitembea hata hatua chache I have to stop nipumue. Hata kuongea sentensi ndefu inanichosha.","[{""token_index"": 4, ""from_language"": ""sw"", ""to_language"": ""en""}]",Breathing difficulty,EMERGENCY,Emergency / Resuscitation,{},"[""difficulty breathing"", ""shortness of breath""]"
sample_sw_en_emotinal distress.m4a,naturalistic_health_complaint,Swahili-English,sw,healthcare,Kenya,smartphone (m4a),indoor quiet,Mental Health,"For the past 2 weeks, sijakuwa nikila vizuri na najihisi overwhelmed kila siku. Leo nimekunywa na mawazo ya kujiumiza na siamini naweza kukaa peke yangu safely. Sijafanya chochote kujiumiza wala kunywa dawa yoyote. Nimekuja na rafiki yangu nipate msaada.","[{""token_index"": 5, ""from_language"": ""sw"", ""to_language"": ""en""}]",,URGENT,General Outpatient,{},"[""emotional distress"", ""anxiety""]"
sample_sw_en_eye_exposure.m4a,naturalistic_health_complaint,Swahili-English,sw,healthcare,Kenya,smartphone (m4a),indoor quiet,Eye & ENT,"Nilikuwa nafanya cleaning, maji ya kusafisha choo yakanirukia kwa jicho la kushoto. Nimeliosha na maji bado linaungua naona ukungu. Lilitokea kwa dakika 10 zilizopita. Sijui jina la hiyo chemical.","[{""token_index"": 4, ""from_language"": ""sw"", ""to_language"": ""en""}]",,URGENT,General Outpatient,{},"[""eye exposure"", ""eye""]"
sample_sw_en_fever_and_headache.m4a,naturalistic_health_complaint,Swahili-English,sw,healthcare,Kenya,smartphone (m4a),indoor quiet,Fever & Infection,"Nimekuwa na homa tangu jana usiku na kichwa kinauma sana I feel weak. Hata kwenda kazi leo sikuweza, nimekunywa paracetamol, lakini bado sijapata nafuu. Sijakohoa na sina maumivu ya.","[{""token_index"": 5, ""from_language"": ""sw"", ""to_language"": ""en""}]","Fever / possible infection (malaria, typhoid, etc.)",URGENT,General Outpatient / Internal Medicine,{},"[""fever"", ""headache""]"
sample_sw_en_head_injury_uncertainity.m4a,naturalistic_health_complaint,Swahili-English,sw,healthcare,Kenya,smartphone (m4a),indoor quiet,Trauma,"Nimeanguka kwa stires leo asubuhi na nagonga kichwa. Sikupoteza fahamu atleast sidhani, lakini nimetapika mara 2 since then kichwa kinauma na nahisi usingizi kuliko kawaida. Sijakunywa.","[{""token_index"": 4, ""from_language"": ""sw"", ""to_language"": ""en""}]",Severe bleeding / major injury,EMERGENCY,Emergency / Trauma,{},"[""head injury""]"
sample_sw_en_injury_ongoning_bleeding.m4a,naturalistic_health_complaint,Swahili-English,sw,healthcare,Kenya,smartphone (m4a),indoor quiet,Trauma,Nimejikata mkono na kisu nikitayarisha chakula about 20 minutes ago. Nimefunga na kitambaa but damu bado inapita. Kidole hiki nahisi kama kimekufa ganzi. Sijui last tetenous injection nilipata.,"[{""token_index"": 4, ""from_language"": ""sw"", ""to_language"": ""en""}]",Severe bleeding / major injury,EMERGENCY,Emergency / Trauma,{},"[""injury"", ""bleeding""]"
sample_sw_en_medication-refill.m4a,naturalistic_health_complaint,Swahili-English,sw,healthcare,Kenya,smartphone (m4a),indoor quiet,Chronic Disease,"Nimekuja fue refill ya dawa za pressure, ziliisha jana. Last dose nilikunywa jana asubuhi, sina headache, maumivu ya kifua, wala shida ya kupumua. Sikumbuki jina la dawa, lakini nimeleta.","[{""token_index"": 5, ""from_language"": ""sw"", ""to_language"": ""en""}]",Medication refill / chronic condition follow-up,ROUTINE,Pharmacy / Chronic care clinic,{},"[""medication refill"", ""prescription""]"
sample_sw_en_mild_respiratory_symptoms.m4a,naturalistic_health_complaint,Swahili-English,sw,healthcare,Kenya,smartphone (m4a),indoor quiet,Respiratory,"Nina mafua na koo inawasha tangu juzi. Nakohoa kidogo mostly usiku, lakini sina shida ya kupumua wala maumivu ya kifua. Nakula nakunywa kawaida. Nimekuja because koo bado inanisumbua.","[{""token_index"": 5, ""from_language"": ""sw"", ""to_language"": ""en""}]",,ROUTINE,General Outpatient,{},"[""respiratory symptoms"", ""cough""]"
